,Statement,Link,Date,Source,Label
0,"Eric Esshaki “would allow insurance companies to kick people with a preexisting condition off their plans in the middle of a pandemic, including over 100,000 Michiganders who have survived COVID-19.”",https://www.politifact.com/factchecks/2020/oct/08/haley-stevens/haley-stevens-ad-gets-details-aca-repeal-wrong/,2020-10-07,Haley Stevens,barely-true
1,"""DEMS WANT TO SHUT YOUR CHURCHES DOWN, PERMANENTLY. HOPE YOU SEE WHAT IS HAPPENING.""",https://www.politifact.com/factchecks/2020/oct/08/donald-trump/trump-falsely-claims-democrats-want-shut-your-chur/,2020-10-07,Donald Trump,pants-fire
2,"“South Dakota, Idaho, Florida, Tennessee & Georgia are now mask FREE!”",https://www.politifact.com/factchecks/2020/oct/08/facebook-posts/no-these-5-states-arent-mask-free-there-are-local-/,2020-10-07,Facebook posts,barely-true
3,“Chris Christie is in ICU and reported to be put on a ventilator.”,https://www.politifact.com/factchecks/2020/oct/07/viral-image/no-evidence-chris-christie-ventilator-icu/,2020-10-07,Viral image,false
4,"“Hillsboro school district has already placed Antifa, BLM in their curriculum as Justice Fighters. Fourth grade.”",https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/no-fourth-graders-hillsboro-ore-arent-learning-abo/,2020-10-07,Facebook posts,false
5,“The Rock has lost 48 million followers on his IG and YouTube after coming out for Biden.”,https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/no-rock-didnt-lose-millions-followers-after-public/,2020-10-07,Facebook posts,false
6,Hacked emails “revealed that Hillary Clinton & pals are involved in sex trafficking children.”,https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/four-years-later-theres-still-no-evidence-support-/,2020-10-07,Facebook posts,pants-fire
7,“Wisconsin Republicans have not passed a single bill in 6 months.”,https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/yes-wisconsin-legislators-havent-passed-bill-6-mon/,2020-10-07,Facebook posts,true
8,"Says Joe Biden said 14,000 people died from H1N1. “Fact checking it is 574,000.”",https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/no-h1n1-didnt-kill-574000-americans/,2020-10-07,Facebook posts,pants-fire
9,Says Kamala Harris said there will be “a federal tax on your home for reparations.”,https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/no-evidence-kamala-harris-backs-tax-pay-slavery-re/,2020-10-07,Facebook posts,false
10,“NYT is correcting their lies..Trump paid $1M in 2016 & $3.8M in 2017-18..THEY LIED..AGAIN. INFO ON TWITTER THIS AM.”,https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/no-evidence-claims-trump-paid-millions-taxes-recen/,2020-10-07,Facebook posts,false
11,"Says Donald Trump said, “The doctors said they’ve never seen a body kill the coronavirus like my body. They tested my DNA and it wasn’t DNA. It was USA.”",https://www.politifact.com/factchecks/2020/oct/07/viral-image/trump-was-triumphant-after-leaving-hospital-he-did/,2020-10-07,Viral image,pants-fire
12,Says Chris Christie told Donald Trump to interrupt Joe Biden during the debate because “people who overcome stuttering have a harder time maintaining their train of thought when interrupted. Keep interrupting him and he’ll stumble when he tries to speak. This will enforce the ‘senile’ narrative.”,https://www.politifact.com/factchecks/2020/oct/07/facebook-posts/no-evidence-christie-told-trump-exploit-bidens-stu/,2020-10-07,Facebook posts,false
13,"“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""",https://www.politifact.com/factchecks/2020/oct/06/donald-trump/donald-trumps-false-claim-covid-19-less-deadly-flu/,2020-10-06,Donald Trump,false
14,“All Missouri’s high-risk areas have mask mandates in place.”,https://www.politifact.com/factchecks/2020/oct/06/mike-parson/most-high-risk-counties-missouri-dont-have-mask-ma/,2020-10-06,Mike Parson,false
15,"During the Obama/Biden administration “18,000 people got clemency.”",https://www.politifact.com/factchecks/2020/oct/06/joe-biden/biden-inflated-number-clemency-actions-obama/,2020-10-06,Joe Biden,false
16,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,https://www.politifact.com/factchecks/2020/oct/06/joe-biden/fbi-director-warned-about-white-supremacist-violen/,2020-10-06,Joe Biden,true
17,"Says he ""fights for everyone with a preexisting condition.”",https://www.politifact.com/factchecks/2020/oct/06/matthew-rosendale/fighting-patient-protections-while-attacking-aca-h/,2020-10-06,Matthew Rosendale,barely-true
18,"Says “John James opposes abortion, even refusing to make an exception when a woman’s life is at risk” and “wants to make it a felony even in cases of rape and incest.”",https://www.politifact.com/factchecks/2020/oct/06/gary-peters/fact-checking-gary-peters-ad-james-abortion-stance/,2020-10-06,Gary Peters,half-true
19,"Says Tommy Tuberville ""quit on his players"" all four times that he was a college football coach.",https://www.politifact.com/factchecks/2020/oct/06/doug-jones/claim-ex-coach-tommy-tuberville-quit-his-players-e/,2020-10-06,Doug Jones,half-true
20,“AARP endorses Biden and gives financial support to Planned Parenthood.”,https://www.politifact.com/factchecks/2020/oct/06/facebook-posts/aarp-didnt-endorse-biden-donate-planned-parenthood/,2020-10-06,Facebook posts,false
21,“I brought back Big Ten football.”,https://www.politifact.com/factchecks/2020/oct/06/donald-trump/big-ten-leaders-say-testing-and-medical-advice-bro/,2020-10-06,Donald Trump,barely-true
22,“The leader of Proud Boys is the Florida state director of Latinos for Trump.”,https://www.politifact.com/factchecks/2020/oct/06/viral-image/proud-boys-leader-who-helps-run-latinos-trump-grou/,2020-10-06,Viral image,half-true
23,Says Sri Kulkarni attended “notorious desert drug parties” and was arrested for cocaine.,https://www.politifact.com/factchecks/2020/oct/06/congressional-leadership-fund/does-sri-kulkarni-attend-notorious-desert-drug-par/,2020-10-06,Congressional Leadership Fund,half-true
24,“HOUSE PASSES BILL TO PAY U.N. TO RUN LOCAL POLICE BOARDS IN 46 U.S. CITIES.”,https://www.politifact.com/factchecks/2020/oct/06/facebook-posts/george-floyd-justice-policing-act-about-police-ref/,2020-10-06,Facebook posts,false
25,“The government has released their initial plans to force a vaccine on everyone.”,https://www.politifact.com/factchecks/2020/oct/06/blog-posting/no-government-hasnt-released-plans-force-covid-19-/,2020-10-06,Bloggers,false
26,Says Joe Biden “wants American farmers to put their farmland into Gvt ‘land banks.’ Gvt would then tell farmers what ‘sustainable’ plants they could grow.”,https://www.politifact.com/factchecks/2020/oct/06/facebook-posts/biden-wants-use-land-banks-farmers-and-similar-pro/,2020-10-06,Facebook posts,half-true
27,“Bikers show up to The Walter Reed Hospital to pray for President Trump.”,https://www.politifact.com/factchecks/2020/oct/05/facebook-posts/video-shows-protesters-south-africa-not-bikers-pra/,2020-10-05,Facebook posts,false
28,Says Susan Collins “pushed for policies that benefited her husband’s lobbying business.”,https://www.politifact.com/factchecks/2020/oct/05/sara-gideon/claim-maine-sen-susan-collins-acted-help-her-husba/,2020-10-05,Sara Gideon,barely-true
29,"Says Joe Biden tweeted, “I have consulted with Instagram’s CEO to take the page @electionleaks down. They have supposedly ‘video proof’ of me using a hidden earpiece in tonight’s debate. This is slander, and not true.”",https://www.politifact.com/factchecks/2020/oct/05/instagram-posts/biden-didnt-tweet-or-wear-earpiece-during-debate/,2020-10-05,Instagram posts,pants-fire
30,“President Trump is in great danger. Evidence is mounting that he’s being deliberately killed at Walter Reed Military Hospital.”,https://www.politifact.com/factchecks/2020/oct/05/alex-jones/evidence-not-mounting-doctors-are-trying-kill-trum/,2020-10-05,Alex Jones,pants-fire
31,Nick Freitas “voted to let businesses discriminate and fire expecting mothers for no other reason but their pregnancy. ”,https://www.politifact.com/factchecks/2020/oct/05/united-associations-union-plumbers-and-pipefitters/did-nick-freitas-vote-against-job-protections-preg/,2020-10-05,United Association’s Union Plumbers and Pipefitters Vote! PAC,mostly-true
32,"Approving the constitutional amendment on Illinois' November ballot “would let the politicians immediately implement their plan to increase taxes on small businesses, farmers and large employers.”",https://www.politifact.com/factchecks/2020/oct/04/coalition-stop-proposed-tax-hike-amendment/will-large-and-small-illinois-businesses-pay-more-/,2020-10-04,Coalition to Stop the Proposed Tax Hike Amendment,half-true
33,"Says Donald Trump is not at Walter Reed National Military Medical Center, “he is on AF1.”",https://www.politifact.com/factchecks/2020/oct/04/facebook-posts/qanon-supporters-push-baseless-theory-trump-isnt-h/,2020-10-04,Facebook posts,pants-fire
34,Says Joe Biden stays in his basement.,https://www.politifact.com/factchecks/2020/oct/04/jason-miller/biden-isnt-basement-trump-campaign-keeps-saying-so/,2020-10-04,Jason MIller,false
35,"“That 5% (wealth tax) starts at $159,000 per family.”",https://www.politifact.com/factchecks/2020/oct/04/phil-scott/would-zuckermans-wealth-tax-top-5-impact-middle-cl/,2020-10-04,Phil Scott,true
36,"Says Donald Trump boarded Marine One ""with a portable oxygen concentrator in his pocket with the nasal cannula going up his back, hidden in his hair and tucked under his mask.""",https://www.politifact.com/factchecks/2020/oct/04/facebook-posts/trump-did-not-board-marine-one-portable-oxygen-con/,2020-10-04,Facebook posts,false
37,Says he “strongly supports legalization for Dreamers.”,https://www.politifact.com/factchecks/2020/oct/03/john-cornyn/cornyn-dreamers-record/,2020-10-03,John Cornyn,half-true
38,“Our governor proposed initially a 5% cut across the board of state government.”,https://www.politifact.com/factchecks/2020/oct/03/david-zuckerman/did-governor-really-suggest-5-budget-cut-amid-pand/,2020-10-02,David Zuckerman,barely-true
39,Photo shows Chris Wallace and Jeffrey Epstein on Epstein’s private island.,https://www.politifact.com/factchecks/2020/oct/02/viral-image/no-s-not-epstein-chris-wallace-its-george-clooney/,2020-10-02,Viral image,pants-fire
40,President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,https://www.politifact.com/factchecks/2020/oct/02/donald-trump/fact-check-why-barack-obama-failed-fill-over-100-j/,2020-10-02,Donald Trump,barely-true
41,“No prominent Democrats have had the virus but the list of Republicans goes on and on.”,https://www.politifact.com/factchecks/2020/oct/02/deanna-lorraine/former-congressional-candidate-falsely-claims-no-p/,2020-10-02,DeAnna Lorraine,false
